school_name,city,state,zip_code,latitude,longitude,endowment_begin,endowment_end,endowment_diff
Colorado Mesa University,Grand Junction,CO,81501-3122,39.080643,-108.553275,49369041,42109580,-7259461
Metropolitan State University of Denver,Denver,CO,80217-3362,39.744202,-105.00504,23175418,19765432,-3409986
Morgan Community College,Fort  Morgan,CO,80701,40.258792,-103.771822,8225093,7129602,-1095491
Naropa University,Boulder,CO,80302-6697,40.014235,-105.266987,3420916,3370010,-50906
Nazarene Bible College,Colorado Springs,CO,80920,38.944824,-104.803251,3962399,2721118,-1241281
Northeastern Junior College,Sterling,CO,80751-2944,40.637215,-103.197329,1237966,1238005,39
University of Northern Colorado,Greeley,CO,80639,40.410855,-104.692777,113678094,101029881,-12648213
Otero College,La Junta,CO,81050,37.969984,-103.544874,521080,740435,219355
Pikes Peak State College,Colorado Springs,CO,80906-5498,38.764287,-104.787261,5116668,4100029,-1016639
Regis University,Denver,CO,80221-1099,39.788175,-105.030756,87776856,86329241,-1447615
Colorado State University Pueblo,Pueblo,CO,81001-4901,38.30859,-104.579033,29817965,24292591,-5525374
Trinidad State College,Trinidad,CO,81082,37.172059,-104.513451,6890124,7607694,717570
United States Air Force Academy,USAF Academy,CO,80840-5002,39.010957,-104.891358,117539428,127842170,10302742
Western Colorado University,Gunnison,CO,81231,38.549936,-106.919132,10191734,9021836,-1169898
Albertus Magnus College,New Haven,CT,06511-1189,41.332519,-72.923848,34550522,25962284,-8588238
Asnuntuck Community College,Enfield,CT,06082,41.998409,-72.570177,655352,658248,2896
University of Bridgeport,Bridgeport,CT,06604-5620,41.164741,-73.190166,7000,2368000,2361000
Central Connecticut State University,New Britain,CT,06050,41.692502,-72.765991,99377963,89049879,-10328084
Charter Oak State College,New Britain,CT,06053,41.688246,-72.767972,2713650,2365141,-348509
Connecticut College,New London,CT,06320-4196,41.379833,-72.107321,434553000,416635000,-17918000
University of Connecticut,Storrs,CT,06269,41.809098,-72.249948,571194053,565628728,-5565325
Goodwin University,East Hartford,CT,06118,41.742977,-72.64032,13821000,12411000,-1410000
Eastern Connecticut State University,Willimantic,CT,06226,41.721673,-72.218753,18987957,16569400,-2418557
Fairfield University,Fairfield,CT,06824-5195,41.157673,-73.255903,411345000,357565000,-53780000
Capital Community College,Hartford,CT,06103,41.768397,-72.672734,2453936,1811081,-642855
Rensselaer at Hartford,Hartford,CT,06120,41.773462,-72.673916,4149000,3282000,-867000
Hartford International University for Religion and Peace,Hartford,CT,06105-2260,41.769861,-72.707766,60145202,50383043,-9762159
University of Hartford,West Hartford,CT,06117-1599,41.798591,-72.715213,232738000,191364000,-41374000
Housatonic Community College,Bridgeport,CT,06604-4704,41.175228,-73.191003,1433465,2242185,808720
Manchester Community College,Manchester,CT,06040,41.761625,-72.561939,4697065,4448306,-248759
Naugatuck Valley Community College,Waterbury,CT,06708-3089,41.549749,-73.072963,2310319,2245291,-65028
Middlesex Community College,Middletown,CT,06457-4829,41.539516,-72.611838,1077253,1107982,30729
Mitchell College,New London,CT,06320,41.328013,-72.09523,9530459,7947276,-1583183
Three Rivers Community College,Norwich,CT,06360,41.509945,-72.103039,6892991,6027202,-865789
University of New Haven,West Haven,CT,06516-1916,41.291314,-72.961472,94617538,86882337,-7735201
Norwalk Community College,Norwalk,CT,06854,41.102574,-73.450965,32470795,28565333,-3905462
Northwestern Connecticut Community College,Winsted,CT,06098,41.920668,-73.058734,1929524,2685346,755822
Quinebaug Valley Community College,Danielson,CT,06239-1436,41.82623,-71.889673,5707085,4773475,-933610
Quinnipiac University,Hamden,CT,06518,41.418915,-72.894117,824411508,718760681,-105650827
Sacred Heart University,Fairfield,CT,06825-1000,41.220893,-73.243332,245516767,238461481,-7055286
University of Saint Joseph,West Hartford,CT,06117,41.781041,-72.72965,45085000,40425000,-4660000
Gateway Community College,New Haven,CT,06510,41.303785,-72.927682,2179603,2579598,399995
Southern Connecticut State University,New Haven,CT,06515-1355,41.333225,-72.947897,37148061,32290983,-4857078
Trinity College,Hartford,CT,06106-3100,41.747451,-72.690882,795206957,795976337,769380
Tunxis Community College,Farmington,CT,06032-3187,41.705498,-72.87754,961352,961333,-19
United States Coast Guard Academy,New London,CT,06320-4195,41.375823,-72.101583,97772935,87282474,-10490461
Wesleyan University,Middletown,CT,06459,41.554665,-72.657146,1669796000,1564521000,-105275000
Western Connecticut State University,Danbury,CT,06810-6826,41.400365,-73.444264,26564963,23411311,-3153652
Yale University,New Haven,CT,06520,41.311158,-72.926688,42282852000,41383260000,-899592000
Delaware State University,Dover,DE,19901,39.187173,-75.54053,40596772,36063061,-4533711
University of Delaware,Newark,DE,19716,39.679577,-75.752822,1957793296,1781176682,-176616614
Goldey-Beacom College,Wilmington,DE,19808,39.741501,-75.689624,194801276,163216236,-31585040
Wilmington University,New Castle,DE,19720,39.682299,-75.586998,159778975,155137083,-4641892
American University,Washington,DC,20016-8001,38.936005,-77.088875,884305000,908905000,24600000
The Catholic University of America,Washington,DC,20064,38.933651,-76.997909,341804586,358681337,16876751
University of the District of Columbia,Washington,DC,20008,38.943819,-77.066247,63745747,53496262,-10249485
Pontifical Faculty of the Immaculate Conception at the Dominican House of Studies,Washington,DC,20017-1585,38.931652,-76.998724,2386397,2593154,206757
Gallaudet University,Washington,DC,20002-3695,38.907371,-76.993675,232869006,191649039,-41219967
George Washington University,Washington,DC,20052,38.89923,-77.048363,2411272000,2340361000,-70911000
Georgetown University,Washington,DC,20057-0001,38.908809,-77.073463,2592048000,3210032000,617984000
Howard University,Washington,DC,20059,38.922392,-77.018966,806419000,862784000,56365000
Trinity Washington University,Washington,DC,20017-1094,38.927398,-77.004261,47419689,37262062,-10157627
Wesley Theological Seminary,Washington,DC,20016-5690,38.939606,-77.08996,36610908,30842705,-5768203
The Baptist College of Florida,Graceville,FL,32440,30.962708,-85.503931,8450912,8326187,-124725
Barry University,Miami,FL,33161-6695,25.878908,-80.198925,54487883,49943246,-4544637
Bethune-Cookman University,Daytona Beach,FL,32114-3099,29.207195,-81.032946,34996645,33794414,-1202231
Lynn University,Boca Raton,FL,33431-5598,26.385985,-80.122806,38790567,35987284,-2803283
Eastern Florida State College,Melbourne,FL,32935,28.170002,-80.670781,21652652,18661055,-2991597
Broward College,Fort Lauderdale,FL,33301,26.119422,-80.14183,43955775,44257918,302143
College of Central Florida,Ocala,FL,34474,29.166079,-82.175692,83508629,91682945,8174316
Johnson University Florida,Kissimmee,FL,34744,28.302547,-81.363053,1670154,1928898,258744
University of Central Florida,Orlando,FL,32816,28.602159,-81.200889,198559038,174724636,-23834402
Chipola College,Marianna,FL,32446-2053,30.789228,-85.23139,19302441,17601676,-1700765
Daytona State College,Daytona Beach,FL,32114,29.203275,-81.049685,17000414,19529676,2529262
Eckerd College,Saint Petersburg,FL,33711-4700,27.715798,-82.687043,81121309,75413467,-5707842
Florida SouthWestern State College,Fort Myers,FL,33919,26.552403,-81.887102,49513921,49679138,165217
Edward Waters University,Jacksonville,FL,32209,30.34479,-81.684879,4151208,3482848,-668360
Embry-Riddle Aeronautical University-Daytona Beach,Daytona Beach,FL,32114-3900,29.189903,-81.048367,164826000,166178000,1352000
Florida Agricultural and Mechanical University,Tallahassee,FL,32307,30.428504,-84.290226,92852706,98299059,5446353
